Supplier_ID,Supplier_Name,Country,Supplier_Rating,Lead_Time_Days,Contract_Type,Supplier_Type,Contact_Email,Phone
SUP058,Omega Group,India,4,4,Framework Agreement,Trading Company,contact@omegagroup.com,-7398059826
SUP059,Prestige Supply Co.,Germany,3.6,12,Long-Term Agreement,Trading Company,contact@prestigesupplyc.com,-6051220693
SUP060,Regal Exports,India,3.3,4,Spot Contract,Distributor,contact@regalexports.com,-3038303978
SUP061,Skyline Traders,China,4.6,13,Long-Term Agreement,Distributor,contact@skylinetraders.com,-7064424747
SUP062,Terra Exports,South Korea,4.7,13,Annual Contract,Manufacturer,contact@terraexports.com,-3538496304
SUP063,Universal Industries,Japan,4.6,14,Spot Contract,Manufacturer,contact@universalindust.com,-8887656040
SUP064,Vantage Supply Co.,Germany,4.6,13,Annual Contract,Trading Company,contact@vantagesupplyco.com,-7744846543
SUP065,Westbrook Supply Co.,USA,4.2,19,Framework Agreement,Trading Company,contact@westbrooksupply.com,-9931470130
SUP066,Yield Group,Germany,4.5,15,Spot Contract,Distributor,contact@yieldgroup.com,-1240886733
SUP067,Zephyr Enterprises,USA,4.6,20,Annual Contract,Trading Company,contact@zephyrenterpris.com,-4168421447
SUP068,Anchor Supply Co.,India,4.8,3,Long-Term Agreement,Manufacturer,contact@anchorsupplyco.com,-4692565051
SUP069,Bridge Group,India,3.9,5,Spot Contract,Manufacturer,contact@bridgegroup.com,-2546462942
SUP070,Compass Exports,South Korea,4.2,11,Spot Contract,Wholesaler,contact@compassexports.com,-5877582045
SUP071,Delta Manufacturing,India,4.1,5,Long-Term Agreement,Wholesaler,contact@deltamanufactur.com,-3866692305
SUP072,Echelon Holdings,India,3.4,3,Annual Contract,Distributor,contact@echelonholdings.com,-9983552898
SUP073,Foundry Logistics,China,4.6,10,Annual Contract,Manufacturer,contact@foundrylogistic.com,-5335510947
SUP074,Gateway Exports,,3.3,13,Annual Contract,Trading Company,contact@gatewayexports.com,-2084305387
SUP075,Heritage Holdings,China,4.3,17,Annual Contract,Manufacturer,contact@heritageholding.com,-9553166089
