Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Cost,Selling_Price,Weight_KG,Shelf_Life_Days,Package_Type,Reorder_Level,Maximum_Stock,Minimum_Stock
PRD0100,InkWell Heavy-Duty Writing 100,Office Supplies,Writing Instruments,InkWell,833.53,1490.8,1.83,913,Poly Bag,276,1270,199
PRD0101,InkWell Signature Stationery 101,Office Supplies,Stationery,InkWell,1225.4,1807.21,1.93,1500,Poly Bag,155,466,93
PRD0102,OfficeMate Smart Filing 102,Office Supplies,Filing & Storage,OfficeMate,1253.59,2012.61,0.27,1707,Box,422,1242,263
PRD0103,ClipLine Premium Desk 103,Office Supplies,Desk Accessories,ClipLine,469.64,737.74,2.05,1831,Poly Bag,265,601,139
PRD0104,DeskEdge Deluxe Stationery 104,Office Supplies,Stationery,DeskEdge,1436.76,2541.41,1.84,2256,Pack,376,736,192
PRD0105,InkWell Standard Stationery 105,Office Supplies,Stationery,InkWell,868.08,1455.84,0.13,2140,Pack,144,996,54
PRD0106,InkWell Elite Writing 106,Office Supplies,Writing Instruments,InkWell,1208.34,1765.4,2.97,1096,Poly Bag,336,696,138
PRD0107,PaperPro Smart Filing 107,Office Supplies,Filing & Storage,PaperPro,512.81,646.47,1.02,1105,Box,283,1237,86
PRD0108,OfficeMate Standard Writing 108,Office Supplies,Writing Instruments,OfficeMate,854.95,1091.45,2.16,1912,Box,175,692,101
PRD0109,OfficeMate Elite Writing 109,Office Supplies,Writing Instruments,OfficeMate,1156.94,1682.43,2.27,2182,Poly Bag,193,628,76
PRD0110,InkWell Elite Printing 110,Office Supplies,Printing Supplies,InkWell,1008.25,1603.76,2.72,2068,Pack,367,905,190
PRD0111,ClipLine Deluxe Desk 111,Office Supplies,Desk Accessories,ClipLine,1198.4,2091.96,1.33,1947,Poly Bag,312,1088,192
PRD0112,InkWell Premium Desk 112,Office Supplies,Desk Accessories,InkWell,170.35,272.04,2.62,2223,Box,315,1198,162
PRD0113,OfficeMate Compact Writing 113,Office Supplies,Writing Instruments,OfficeMate,32.5,52.31,1.75,2494,Pack,181,1060,61
PRD0114,DeskEdge Portable Desk 114,Office Supplies,Desk Accessories,DeskEdge,328.11,463.76,0.28,1401,Box,267,1096,117
PRD0115,DeskEdge Essential Stationery 115,Office Supplies,Stationery,DeskEdge,348.36,570.31,0.29,1263,Pack,386,705,278
PRD0116,DeskEdge Signature Printing 116,Office Supplies,Printing Supplies,DeskEdge,333.96,440.52,1.7,795,Pack,394,712,273
PRD0117,OfficeMate Classic Writing 117,Office Supplies,Writing Instruments,OfficeMate,1477.44,2626.09,0.57,1197,Box,390,972,220
PRD0118,PaperPro Advanced Desk 118,Office Supplies,Desk Accessories,PaperPro,1267.77,1583.36,1.46,2067,Poly Bag,330,1320,180
PRD0119,ClipLine Portable Stationery 119,Office Supplies,Stationery,ClipLine,1381.82,2199.79,1.12,1053,Pack,343,850,293
PRD0120,ClipLine Classic Stationery 120,Office Supplies,Stationery,ClipLine,1394.65,2220.35,0.37,1920,Pack,109,1037,53
PRD0121,KitchPro Compact Kitchen 121,Kitchen,Kitchen Appliances,KitchPro,3529.73,4914.0,6.07,1949,Poly Bag,274,635,193
PRD0122,PureCook Standard Storage 122,Kitchen,Storage Containers,PureCook,1518.21,2325.83,6.19,2430,Box,295,703,126
PRD0123,PureCook Deluxe Kitchen 123,Kitchen,Kitchen Appliances,PureCook,4914.8,7845.64,6.86,2658,Carton,257,629,163
PRD0124,Servewell Compact Storage 124,Kitchen,Storage Containers,Servewell,3784.74,6319.25,4.91,1420,Box,330,1037,176
PRD0125,PureCook Standard Cookware 125,Kitchen,Cookware,PureCook,384.55,504.52,3.6,2706,Poly Bag,250,721,65
PRD0126,PureCook Compact Kitchen 126,Kitchen,Kitchen Appliances,PureCook,119.93,207.22,6.16,2377,Poly Bag,245,797,128
PRD0127,ChefLine Elite Kitchen 127,Kitchen,Kitchen Appliances,ChefLine,1098.82,1745.64,3.96,2086,Poly Bag,315,724,204
PRD0128,PureCook Signature Kitchen 128,Kitchen,Kitchen Appliances,PureCook,374.56,634.18,7.54,984,Carton,379,903,258
PRD0129,PureCook Everyday Cookware 129,Kitchen,Cookware,PureCook,2290.72,3068.74,5.75,1906,Box,265,772,158
PRD0130,ChefLine Ultra Utensils 130,Kitchen,Utensils,ChefLine,1998.88,2436.13,3.6,2343,Poly Bag,148,847,92
PRD0131,Servewell Essential Utensils 131,Kitchen,Utensils,Servewell,2092.22,3482.26,7.78,1654,Box,376,787,197
PRD0132,KitchPro Everyday Utensils 132,Kitchen,Utensils,KitchPro,3902.4,5858.24,1.1,2348,Poly Bag,385,1225,191
PRD0133,ChefLine Heavy-Duty Cookware 133,Kitchen,Cookware,ChefLine,2269.87,3656.52,4.63,741,Box,266,620,134
PRD0134,HomeBrew Deluxe Storage 134,Kitchen,Storage Containers,HomeBrew,1360.96,2351.09,7.33,1523,Carton,277,740,141
PRD0135,PureCook Ultra Tableware 135,Kitchen,Tableware,PureCook,5612.23,8831.03,2.42,2256,Carton,182,1082,96
PRD0136,KitchPro Standard Kitchen 136,Kitchen,Kitchen Appliances,KitchPro,5934.45,8655.04,4.68,1701,Carton,423,742,253
PRD0137,PureCook Classic Tableware 137,Kitchen,Tableware,PureCook,234.5,293.69,7.81,2208,Box,266,690,181
PRD0138,ChefLine Pro Tableware 138,Kitchen,Tableware,ChefLine,3649.34,6261.25,4.69,1890,Poly Bag,262,1058,211
PRD0139,PureCook Compact Tableware 139,Kitchen,Tableware,PureCook,471.44,696.75,2.28,1127,Box,237,793,54
PRD0140,HomeBrew Deluxe Utensils 140,Kitchen,Utensils,HomeBrew,3945.72,6961.62,7.65,1139,Box,312,917,153
PRD0141,Servewell Pro Cookware 141,Kitchen,Cookware,Servewell,3227.85,4147.77,5.97,1938,Carton,351,1337,189
PRD0142,Servewell Everyday Cookware 142,Kitchen,Cookware,Servewell,620.52,1011.07,3.74,772,Box,398,966,275
PRD0143,Servewell Compact Kitchen 143,Kitchen,Kitchen Appliances,Servewell,586.59,864.65,2.42,1552,Box,198,933,66
PRD0144,KitchPro Deluxe Tableware 144,Kitchen,Tableware,KitchPro,5937.01,8689.67,1.54,1280,Box,308,928,204
PRD0145,Servewell Advanced Cookware 145,Kitchen,Cookware,Servewell,4537.18,7119.29,7.04,1891,Poly Bag,213,876,63
PRD0146,ChefLine Compact Tableware 146,Kitchen,Tableware,ChefLine,1519.62,2236.38,5.88,887,Carton,291,1100,121
PRD0147,ChefLine Heavy-Duty Kitchen 147,Kitchen,Kitchen Appliances,ChefLine,155.67,256.37,0.97,2366,Box,214,990,81
PRD0148,PureCook Elite Kitchen 148,Kitchen,Kitchen Appliances,PureCook,2299.61,3394.48,6.1,2742,Carton,239,935,134
PRD0149,HomeBrew Classic Cookware 149,Kitchen,Cookware,HomeBrew,4675.01,7998.27,1.81,1865,Carton,296,936,153
PRD0150,HomeBrew Elite Tableware 150,Kitchen,Tableware,HomeBrew,5833.04,9684.23,4.52,881,Carton,214,1035,100
PRD0151,ChefLine Premium Utensils 151,Kitchen,Utensils,ChefLine,3407.59,5152.72,0.19,1955,Poly Bag,196,1082,64
PRD0152,HomeBrew Portable Utensils 152,Kitchen,Utensils,HomeBrew,5548.66,9064.95,3.63,1363,Carton,376,851,294
PRD0153,HomeBrew Premium Kitchen 153,Kitchen,Kitchen Appliances,HomeBrew,4029.97,5382.01,0.8,1081,Carton,183,1004,82
PRD0154,PureCook Heavy-Duty Storage 154,Kitchen,Storage Containers,PureCook,3427.58,4861.08,2.97,2740,Box,350,992,239
PRD0155,KitchPro Advanced Utensils 155,Kitchen,Utensils,KitchPro,422.18,716.05,6.44,2553,Carton,358,1099,255
PRD0156,ChefLine Classic Cookware 156,Kitchen,Cookware,ChefLine,3924.19,6071.35,2.66,1074,Carton,298,1124,184
PRD0157,Servewell Smart Storage 157,Kitchen,Storage Containers,Servewell,4588.67,6706.36,7.73,940,Poly Bag,192,515,69
PRD0158,ChefLine Heavy-Duty Tableware 158,Kitchen,Tableware,ChefLine,4356.68,7566.23,4.57,1299,Box,217,903,95
PRD0159,KitchPro Standard Cookware 159,Kitchen,Cookware,KitchPro,868.43,1206.87,6.39,1411,Poly Bag,353,1174,213
PRD0160,ChefLine Portable Tableware 160,Kitchen,Tableware,ChefLine,3160.13,4579.14,6.49,1136,Box,171,1134,94
PRD0161,Enduro Deluxe Team 161,Sports,Team Sports,Enduro,5112.77,7647.19,21.69,1690,Poly Bag,332,1063,155
PRD0162,Trailmax Compact Outdoor 162,Sports,Outdoor Sports,Trailmax,4032.39,6690.41,24.96,1522,Carton,235,651,117
PRD0163,Enduro Elite Cycling 163,Sports,Cycling,Enduro,1075.93,1373.42,7.92,755,Carton,417,741,265
PRD0164,Enduro Heavy-Duty Sportswear 164,Sports,Sportswear,Enduro,9161.44,13498.12,1.6,854,Carton,434,1341,254
PRD0165,Sprintly Ultra Outdoor 165,Sports,Outdoor Sports,Sprintly,5257.82,7036.91,19.85,2010,Poly Bag,304,918,124
PRD0166,Trailmax Deluxe Team 166,Sports,Team Sports,Trailmax,10620.93,17836.72,17.66,2225,Carton,402,953,290
PRD0167,Sprintly Smart Sportswear 167,Sports,Sportswear,Sprintly,7976.87,9762.5,25.74,1053,Box,184,790,67
PRD0168,Sprintly Everyday Fitness 168,Sports,Fitness Equipment,Sprintly,5446.44,9657.6,28.42,1054,Poly Bag,245,738,180
PRD0169,Enduro Deluxe Team 169,Sports,Team Sports,Enduro,9245.81,14591.16,23.4,1156,Poly Bag,256,958,72
PRD0170,GearZone Compact Team 170,Sports,Team Sports,GearZone,3152.36,5284.89,11.65,957,Box,187,1144,124
PRD0171,ProFit Essential Outdoor 171,Sports,Outdoor Sports,ProFit,9360.96,13314.4,12.94,961,Poly Bag,244,1129,77
PRD0172,Trailmax Signature Outdoor 172,Sports,Outdoor Sports,Trailmax,1632.9,2202.02,11.5,1206,Carton,132,562,81
PRD0173,ProFit Deluxe Fitness 173,Sports,Fitness Equipment,ProFit,11375.3,18407.73,29.8,2112,Poly Bag,365,982,288
PRD0174,Enduro Smart Fitness 174,Sports,Fitness Equipment,Enduro,6078.15,8367.14,3.5,2498,Box,368,1261,181
PRD0175,GearZone Smart Cycling 175,Sports,Cycling,GearZone,4379.82,6392.93,2.27,1531,Carton,232,787,138
PRD0176,Enduro Advanced Team 176,Sports,Team Sports,Enduro,211.29,328.29,8.23,2080,Carton,379,1202,185
PRD0177,Enduro Premium Sportswear 177,Sports,Sportswear,Enduro,10967.67,19338.99,29.5,863,Carton,302,1013,234
PRD0178,Enduro Smart Sportswear 178,Sports,Sportswear,Enduro,2873.35,3654.99,1.82,1275,Carton,371,713,177
PRD0179,Enduro Portable Outdoor 179,Sports,Outdoor Sports,Enduro,6709.6,10675.79,6.93,1232,Carton,231,688,110
PRD0180,Enduro Heavy-Duty Sportswear 180,Sports,Sportswear,Enduro,11133.29,15565.91,13.2,748,Box,402,1370,216
PRD0181,ProFit Deluxe Outdoor 181,Sports,Outdoor Sports,ProFit,9013.49,15112.49,10.43,840,Poly Bag,283,845,153
PRD0182,GearZone Compact Outdoor 182,Sports,Outdoor Sports,GearZone,1183.31,2119.47,2.52,1893,Carton,312,1283,117
PRD0183,Sprintly Compact Cycling 183,Sports,Cycling,Sprintly,321.47,551.61,17.46,1180,Carton,325,1233,275
PRD0184,GearZone Classic Cycling 184,Sports,Cycling,GearZone,10292.17,17448.28,22.85,1204,Box,276,1086,87
PRD0185,ProFit Advanced Outdoor 185,Sports,Outdoor Sports,ProFit,5069.7,6505.24,15.9,905,Box,231,993,126
PRD0186,Enduro Portable Fitness 186,Sports,Fitness Equipment,Enduro,10807.94,18322.81,16.22,2509,Carton,311,642,162
PRD0187,Trailmax Heavy-Duty Sportswear 187,Sports,Sportswear,Trailmax,11446.61,18539.86,7.22,2501,Carton,362,686,252
PRD0188,Enduro Signature Cycling 188,Sports,Cycling,Enduro,3086.32,4289.64,13.99,2405,Box,286,722,215
PRD0189,Sprintly Portable Sportswear 189,Sports,Sportswear,Sprintly,1536.65,2231.84,5.45,1783,Box,362,842,278
PRD0190,Sprintly Signature Cycling 190,Sports,Cycling,Sprintly,7125.52,8929.46,0.3,2433,Poly Bag,242,896,104
PRD0191,Trailmax Signature Sportswear 191,Sports,Sportswear,Trailmax,4443.98,5890.48,14.5,1352,Carton,361,1055,188
PRD0192,GearZone Elite Cycling 192,Sports,Cycling,GearZone,8561.2,11864.31,23.91,1338,Box,348,1274,224
PRD0193,Trailmax Smart Fitness 193,Sports,Fitness Equipment,Trailmax,10039.56,17709.84,11.97,762,Poly Bag,368,907,215
PRD0194,Sprintly Advanced Team 194,Sports,Team Sports,Sprintly,7030.63,10797.88,2.93,2290,Poly Bag,379,975,279
PRD0195,ProFit Standard Cycling 195,Sports,Cycling,ProFit,6448.99,9213.56,12.76,2405,Box,349,1191,189
PRD0196,Sprintly Smart Sportswear 196,Sports,Sportswear,Sprintly,2592.33,3166.02,13.81,1366,Box,251,663,116
PRD0197,Trailmax Advanced Fitness 197,Sports,Fitness Equipment,Trailmax,830.99,1335.45,20.58,792,Poly Bag,193,1119,133
PRD0198,Enduro Advanced Fitness 198,Sports,Fitness Equipment,Enduro,4056.25,5495.42,9.93,2326,Poly Bag,294,768,149
PRD0199,Sprintly Signature Sportswear 199,Sports,Sportswear,Sprintly,630.79,772.52,0.46,1629,Poly Bag,422,1197,280
PRD0200,GearZone Standard Outdoor 200,Sports,Outdoor Sports,GearZone,5285.06,9450.97,29.69,1211,Poly Bag,282,933,219
PRD0201,UrbanWeave Portable Men's 201,Fashion,Men's Apparel,UrbanWeave,3477.81,5305.1,2.24,742,Box,351,753,232
PRD0202,Stridex Advanced Men's 202,Fashion,Men's Apparel,Stridex,3315.09,5026.48,1.5,526,Box,292,783,188
PRD0203,UrbanWeave Deluxe Women's 203,Fashion,Women's Apparel,UrbanWeave,3391.1,5808.73,1.82,394,Box,404,1021,232
PRD0204,UrbanWeave Essential Women's 204,Fashion,Women's Apparel,UrbanWeave,1117.35,1377.16,1.64,800,Box,322,1257,134
PRD0205,Threadly Deluxe Accessories 205,Fashion,Accessories,Threadly,3165.8,5516.97,2.28,440,Poly Bag,249,1158,77
