Shipment_ID,Shipment_Date,Product_ID,Warehouse_ID,Supplier_ID,Order_Quantity,Delivered_Quantity,Inventory_Before,Inventory_After,Shipping_Cost,Delivery_Days,Expected_Delivery_Days,Delivery_Status,Late_Delivery_Days,Transport_Mode,Distance_KM,Order_Priority,Returned_Units,Damage_Units,Order_Value,Warehouse_Handling_Cost,Fuel_Cost,Shipment_Status,Year,Quarter,Month,Month_Name,Week,Day
SHP000059,12-07-2026,PRD0275,WH029,SUP013,392,392,791,413,1367.21,6,8,On Time,0,Rail,1395.7,High,14,6,936652.64,154.96,233.03,Completed,2026,3,7,July,28,12
SHP000060,22-11-2025,PRD0193,WH024,SUP003,531,531,725,226,32977.87,1,1,On Time,0,Air,12338.6,Medium,32,14,9403925.04,564.75,13747.5,Completed,2025,4,11,November,47,22
SHP000061,04-07-2025,PRD0203,WH002,SUP030,381,381,859,493,623.83,5,7,On Time,0,Road,1038.6,High,15,9,2213126.13,571.3,408.63,Completed,2025,3,7,July,27,4
SHP000062,14-03-2026,PRD0274,WH027,SUP064,504,504,650,173,33494.39,1,2,On Time,0,Air,6047.2,High,27,8,705610.08,229.27,5213.24,Completed,2026,1,3,March,11,14
SHP000063,21-12-2025,PRD0073,WH019,SUP035,537,537,636,133,58966.77,1,2,On Time,0,Air,3872.2,Low,34,1,16711515.18,359.84,3247.4,Completed,2025,4,12,December,51,21
SHP000064,21-03-2025,PRD0014,WH029,SUP030,451,413,711,325,1213.39,3,3,On Time,0,Road,1049.7,Low,27,8,691849.34,614.74,403.85,Completed,2025,1,3,March,12,21
SHP000065,06-10-2024,PRD0107,WH027,SUP031,218,218,343,127,305.34,6,7,On Time,0,Rail,712.1,Medium,2,0,140930.46,348.06,193.34,Completed,2024,4,10,October,40,6
SHP000066,12-02-2025,PRD0031,WH009,SUP015,144,138,1147,1014,6624.36,1,1,On Time,0,Air,5789.4,High,5,0,860194.02,622.77,5185.33,Completed,2025,1,2,February,7,12
SHP000067,27-10-2024,PRD0018,WH014,SUP066,156,145,642,497,6707.91,1,2,On Time,0,Air,6896.4,Medium,0,2,651086.25,425.05,5533.69,Completed,2024,4,10,October,43,27
SHP000068,04-04-2026,PRD0054,WH023,SUP048,492,461,1026,565,2589.98,6,7,On Time,0,Rail,1202.1,High,0,8,6586472.96,644.02,171.52,Cancelled,2026,2,4,April,14,4
SHP000069,26-03-2026,PRD0069,WH005,SUP009,319,319,391,86,3937.34,6,6,On Time,0,Rail,1446.6,Medium,14,9,3811740.57,185.92,263.04,Completed,2026,1,3,March,13,26
SHP000070,03-03-2026,PRD0348,WH026,SUP043,112,112,560,452,28136.89,2,3,On Time,0,Air,4811.5,High,4,2,659109.92,248.6,5013.52,Completed,2026,1,3,March,10,3
SHP000071,15-11-2025,PRD0182,WH007,SUP036,498,483,900,446,1463.86,15,16,On Time,0,Sea,4237.8,Medium,29,4,1023704.01,347.18,1176.07,Completed,2025,4,11,November,46,15
SHP000072,01-08-2024,PRD0335,WH027,SUP020,238,206,895,700,2964.32,8,9,On Time,0,Rail,1168,Low,11,2,2802471.38,623.62,221.88,Completed,2024,3,8,August,31,1
SHP000073,23-02-2026,PRD0001,WH015,SUP031,42,42,1029,989,689.07,3,3,On Time,0,Air,1667.2,Low,2,0,36069.18,513.23,1616.38,Completed,2026,1,2,February,9,23
SHP000074,31-05-2025,PRD0014,WH021,SUP050,190,190,845,661,950.18,2,4,On Time,0,Road,1167.4,Medium,6,1,318284.2,176.97,416.53,Completed,2025,2,5,May,22,31
SHP000075,17-04-2025,PRD0186,WH014,SUP020,449,449,598,169,850.55,7,7,On Time,0,Rail,429.7,Medium,20,11,8226941.69,207.8,86.8,Completed,2025,2,4,April,16,17
SHP000076,17-05-2024,PRD0363,WH009,SUP050,25,21,497,476,417.7,6,6,On Time,0,Rail,1164.6,Low,0,0,204801.03,341.71,270.75,Cancelled,2024,2,5,May,20,17
SHP000077,05-03-2024,PRD0132,WH023,SUP002,389,389,1033,662,778.04,12,12,On Time,0,Sea,7352.6,Medium,18,2,2278855.36,293.01,2249.25,Completed,2024,1,3,March,10,5
SHP000078,11-06-2025,PRD0071,WH022,SUP048,224,224,527,317,12690.3,1,3,On Time,0,Road,1320.7,Medium,14,3,2145185.28,677.42,576.63,Completed,2025,2,6,June,24,11
SHP000079,19-02-2024,PRD0132,WH009,SUP021,401,401,511,139,1429.5,1,1,On Time,0,Air,3886,Low,29,7,2349154.24,632.03,4311.73,Completed,2024,1,2,February,8,19
SHP000080,05-07-2025,PRD0213,WH012,SUP071,50,47,517,470,377.56,9,10,On Time,0,Rail,520.8,Low,0,0,373301.26,267.78,124.84,Completed,2025,3,7,July,27,5
SHP000081,23-08-2024,PRD0208,WH007,SUP008,197,197,567,370,163.94,5,7,On Time,0,Rail,385.6,Low,0,3,149205.83,301.56,141.24,Completed,2024,3,8,August,34,23
SHP000082,23-07-2026,PRD0395,WH009,SUP017,179,179,1071,893,1489.49,2,4,On Time,0,Road,486,High,1,2,120282.63,573.49,218.59,Completed,2026,3,7,July,30,23
SHP000083,12-06-2026,PRD0216,WH018,SUP031,155,155,507,353,897.23,1,2,On Time,0,Air,1783.9,High,1,1,647049.05,218.81,1715.76,Completed,2026,2,6,June,24,12
SHP000084,17-05-2026,PRD0132,WH005,SUP032,451,451,567,145,257.9,6,8,On Time,0,Rail,355.4,Medium,29,12,2642066.24,165.36,90.92,Completed,2026,2,5,May,20,17
SHP000085,03-01-2026,PRD0362,WH015,SUP045,108,108,325,217,604.02,4,4,On Time,0,Road,94.2,Low,0,0,546963.84,301.66,58.29,In Transit,2026,1,1,January,1,3
SHP000086,08-05-2024,PRD0177,WH011,SUP009,283,283,379,100,5773.45,2,4,On Time,0,Road,873.1,Low,4,1,5472934.17,136.58,399.54,Completed,2024,2,5,May,19,8
SHP000087,07-02-2025,PRD0181,WH007,SUP019,22,22,560,538,5551.61,15,17,On Time,0,Sea,4281.2,Medium,0,0,332474.78,271.58,1149.73,Completed,2025,1,2,February,6,7
SHP000088,12-01-2026,PRD0300,WH002,SUP013,386,386,744,358,568.37,6,6,On Time,0,Road,342.4,High,0,2,2057476.5,427.84,193.31,Completed,2026,1,1,January,3,12
SHP000089,30-08-2024,PRD0037,WH028,SUP010,541,541,705,164,1119.23,1,1,On Time,0,Air,1328.1,Medium,0,3,1352667.71,410.45,1444.98,In Transit,2024,3,8,August,35,30
SHP000090,07-06-2026,PRD0262,WH011,SUP007,232,232,458,231,368.77,11,6,Late,5,Road,844.4,Medium,5,5,1317258.88,411.84,319.15,Completed,2026,2,6,June,23,7
SHP000091,25-05-2024,PRD0328,WH023,SUP047,164,164,505,345,11848.7,19,20,On Time,0,Sea,5308.5,High,4,2,2905379.72,500.37,1501.18,Completed,2024,2,5,May,21,25
SHP000092,28-04-2026,PRD0039,WH003,SUP052,68,68,612,546,4468.05,1,1,On Time,0,Air,2966.3,High,2,0,463744.36,229.64,2569.91,Completed,2026,2,4,April,18,28
SHP000093,16-07-2026,PRD0215,WH015,SUP035,451,451,494,56,2052.32,1,1,On Time,0,Air,3640.6,High,13,1,472048.17,627.28,2856.23,Completed,2026,3,7,July,29,16
SHP000094,17-07-2026,PRD0095,WH026,SUP025,543,543,1330,810,812.05,18,18,On Time,0,Sea,15259.7,Medium,23,15,1151018.82,451.35,3099.06,Completed,2026,3,7,July,29,17
SHP000095,31-01-2024,PRD0227,WH013,SUP005,595,593,881,319,583.63,5,7,On Time,0,Road,586.7,Medium,31,6,2533622.15,202.25,282.61,Completed,2024,1,1,January,5,31
SHP000096,06-04-2025,PRD0171,WH020,SUP048,397,322,512,194,3568.82,6,6,On Time,0,Road,1371.5,High,4,7,4287236.8,640.7,601.78,Completed,2025,2,4,April,14,6
SHP000097,18-08-2024,PRD0341,WH004,SUP065,170,158,444,291,106341.76,2,2,On Time,0,Air,12972.7,Medium,5,3,4098324.08,480.61,10553.27,Completed,2024,3,8,August,33,18
SHP000098,07-01-2025,PRD0096,WH029,SUP007,373,373,454,96,657.91,1,2,On Time,0,Air,914.8,High,15,11,41537.28,556.85,841.39,Completed,2025,1,1,January,2,7
SHP000099,05-02-2025,PRD0115,WH010,SUP005,399,398,427,43,206.05,3,5,On Time,0,Road,952.2,Low,14,10,226983.38,204.09,457.45,Completed,2025,1,2,February,6,5
SHP000100,22-01-2026,PRD0238,WH003,SUP014,446,366,987,644,398.47,4,6,On Time,0,Rail,1557.6,Medium,23,3,945443.88,398.41,304.27,Completed,2026,1,1,January,4,22
SHP000101,13-10-2024,PRD0120,WH007,SUP022,310,249,767,532,332.94,18,13,Late,5,Sea,3726.8,Low,14,0,552867.15,359.43,1184.02,Completed,2024,4,10,October,41,13
SHP000102,11-02-2024,PRD0077,WH026,SUP002,274,274,558,291,44976.66,9,11,On Time,0,Sea,7037.3,Medium,7,7,6710934.04,570.41,1576.18,Completed,2024,1,2,February,6,11
SHP000103,11-06-2024,PRD0290,WH022,SUP047,213,213,654,445,7633.45,1,1,On Time,0,Air,4301.8,High,4,5,5579317.74,587.32,4171.46,Completed,2024,2,6,June,24,11
SHP000104,28-05-2024,PRD0315,WH021,SUP049,142,142,1136,1004,763.01,11,11,On Time,0,Sea,13067.4,Low,10,1,905321,427.52,3082.94,Completed,2024,2,5,May,22,28
SHP000105,03-04-2026,PRD0103,WH003,SUP037,283,283,387,116,5302.36,1,1,On Time,0,Air,12381.2,High,12,0,208780.42,123.88,10827.57,Completed,2026,2,4,April,14,3
SHP000106,09-06-2026,PRD0257,WH025,SUP024,196,183,642,469,999.49,8,3,Late,5,Air,7133.3,Low,10,2,1558537.8,456.89,6474.96,Completed,2026,2,6,June,24,9
SHP000107,18-02-2024,PRD0251,WH016,SUP073,500,448,827,385,10841.23,10,10,On Time,0,Sea,4041.5,Medium,6,5,1181416.32,686.2,1063.79,Completed,2024,1,2,February,7,18
SHP000108,19-10-2025,PRD0184,WH015,SUP015,556,556,798,278,14986.18,14,10,Late,4,Sea,6284.8,Medium,36,0,9701243.68,363.63,1918.49,Completed,2025,4,10,October,42,19
SHP000109,20-01-2025,PRD0227,WH010,SUP002,119,119,234,123,3232.39,2,2,On Time,0,Air,6514.6,Low,8,2,508433.45,244.39,6479.51,Completed,2025,1,1,January,4,20
SHP000110,15-02-2025,PRD0310,WH018,SUP024,522,522,551,58,4637.04,1,1,On Time,0,Air,6549.6,Medium,29,0,822374.46,575.12,6813.24,Completed,2025,1,2,February,7,15
SHP000111,19-06-2025,PRD0197,WH005,SUP043,225,225,525,306,13480.67,14,14,On Time,0,Sea,5503.6,High,6,0,300476.25,214.77,1353.25,Completed,2025,2,6,June,25,19
SHP000112,18-11-2024,PRD0307,WH003,SUP027,126,126,455,330,1282.11,1,1,On Time,0,Air,2762.5,Low,1,1,2008170.36,305.65,2652.79,Completed,2024,4,11,November,47,18
SHP000113,06-01-2024,PRD0254,WH009,SUP066,544,544,743,207,4847.15,19,20,On Time,0,Sea,7969.4,Low,8,7,2997532.48,267.99,2373.78,Completed,2024,1,1,January,1,6
SHP000114,22-11-2025,PRD0010,WH010,SUP014,592,592,830,259,583.59,2,3,On Time,0,Road,841.7,Medium,21,9,4520967.84,327.96,425.43,Completed,2025,4,11,November,47,22
SHP000115,18-05-2025,PRD0278,WH013,SUP047,507,472,595,123,11387.5,16,18,On Time,0,Sea,4825.4,Medium,0,1,4264652.16,129.38,1465.21,In Transit,2025,2,5,May,20,18
SHP000116,20-03-2026,PRD0263,WH017,SUP041,51,44,888,844,32765.44,12,13,On Time,0,Sea,16744,Low,0,0,379781.6,654.47,3508.96,Completed,2026,1,3,March,12,20
SHP000117,01-08-2025,PRD0166,WH016,SUP057,564,564,929,400,8338.23,8,10,On Time,0,Sea,4078.4,Medium,35,5,10059910.08,530.81,1074.08,Completed,2025,3,8,August,31,1
SHP000118,28-10-2024,PRD0359,WH027,SUP023,568,549,688,139,55171.13,2,1,Late,1,Air,3425.1,Medium,0,15,11737899.99,175.49,3543.47,Cancelled,2024,4,10,October,44,28
SHP000119,29-05-2025,PRD0123,WH005,SUP012,596,596,715,153,933.3,2,4,On Time,0,Road,413.5,Medium,34,17,4676001.44,587.93,187.66,Completed,2025,2,5,May,22,29
SHP000120,17-06-2025,PRD0117,WH011,SUP047,91,91,694,606,416.28,19,19,On Time,0,Sea,5304.4,Low,3,0,238974.19,350.75,1574.94,Completed,2025,2,6,June,25,17
SHP000121,21-06-2024,PRD0187,WH017,SUP050,440,377,636,272,4148.84,1,2,On Time,0,Air,2404.8,High,13,10,6989527.22,420.75,2461.66,Completed,2024,2,6,June,25,21
SHP000122,17-01-2024,PRD0296,WH023,SUP074,485,485,549,64,1226.48,10,12,On Time,0,Sea,6490.9,Low,29,9,7378542.65,282.72,1580.77,Returned,2024,1,1,January,3,17
SHP000123,28-05-2024,PRD0108,WH002,SUP067,282,282,534,273,5856.72,4,1,Late,3,Air,12268.7,Medium,21,2,307788.9,633.08,11958.76,Completed,2024,2,5,May,22,28
SHP000124,11-06-2026,PRD0223,WH023,SUP023,328,328,641,323,3769.76,1,1,On Time,0,Air,4112.9,High,10,0,2026538.16,353.57,4672.43,Completed,2026,2,6,June,24,11
SHP000125,03-01-2024,PRD0308,WH005,SUP027,327,327,463,136,939.98,12,12,On Time,0,Sea,3140.1,Medium,0,7,5591415.51,500.23,879.85,Returned,2024,1,1,January,1,3
SHP000126,10-08-2024,PRD0287,WH005,SUP010,520,520,992,501,1222.06,6,4,Late,2,Road,665.6,Low,29,7,7100028,611.17,333.9,Completed,2024,3,8,August,32,10
SHP000127,19-04-2024,PRD0378,WH018,SUP038,47,47,270,224,5942.72,17,19,On Time,0,Sea,3840.7,High,1,1,99641.41,364.62,1075.38,Completed,2024,2,4,April,16,19
SHP000128,15-05-2026,PRD0067,WH012,SUP012,510,451,759,308,7764.24,6,7,On Time,0,Road,1045.5,Low,0,7,8932474.43,460.34,437.08,In Transit,2026,2,5,May,20,15
SHP000129,04-01-2026,PRD0244,WH002,SUP052,60,60,840,780,275.42,16,16,On Time,0,Sea,3039.1,Medium,0,0,395728.8,604.59,947.21,Cancelled,2026,1,1,January,1,4
SHP000130,13-09-2025,PRD0274,WH010,SUP036,84,82,228,151,19427.5,6,1,Late,5,Air,4035.1,Medium,5,0,114801.64,390.73,4404.37,Completed,2025,3,9,September,37,13
SHP000131,26-08-2024,PRD0302,WH023,SUP018,376,376,694,328,6373.67,3,2,Late,1,Air,4984.5,Medium,10,2,9379786.24,339.04,4338.2,Completed,2024,3,8,August,35,26
SHP000132,09-10-2024,PRD0090,WH022,SUP005,38,38,343,307,804.83,1,1,On Time,0,Air,1695.8,Medium,2,0,12492.12,445.8,1376.98,Completed,2024,4,10,October,41,9
SHP000133,27-01-2024,PRD0292,WH004,SUP072,59,59,239,181,4914.62,2,3,On Time,0,Air,2379.6,Low,1,0,741396.36,575.12,2252.24,Completed,2024,1,1,January,4,27
SHP000134,12-08-2024,PRD0017,WH002,SUP036,232,232,401,184,4140.61,3,3,On Time,0,Air,3892.1,Medium,15,3,1943331.76,460.28,3279.33,Completed,2024,3,8,August,33,12
SHP000135,24-03-2024,PRD0013,WH006,SUP011,429,429,942,513,1722.23,17,19,On Time,0,Sea,13994.8,Low,0,6,877639.62,563.74,2888.78,Completed,2024,1,3,March,12,24
SHP000136,23-03-2024,PRD0343,WH027,SUP065,419,419,679,276,154732.35,3,3,On Time,0,Air,13045.7,Low,16,8,8520905.51,568.62,14218.79,Completed,2024,1,3,March,12,23
SHP000137,21-03-2026,PRD0110,WH020,SUP013,214,214,806,601,516.9,6,8,On Time,0,Rail,870.4,Low,9,5,343204.64,311.57,183.39,Completed,2026,1,3,March,12,21
SHP000138,24-03-2026,PRD0068,WH022,SUP050,512,512,726,251,1163.12,9,9,On Time,0,Rail,2154.7,Low,37,4,842224.64,432.24,383.63,Completed,2026,1,3,March,13,24
SHP000139,07-07-2026,PRD0221,WH013,SUP002,170,170,476,318,827.3,1,2,On Time,0,Air,6736,High,12,0,658115.9,254.31,6974.88,Completed,2026,3,7,July,28,7
